Product Name,Brand,Color,Size,Material,Style,Gender,Sleeve Length,Pocket Type,Hood Type,Zipper,Price,Weight (g),Season,Pattern,Fit,Occasion,Care Instructions,Country of Origin,Sustainable,Stock Quantity
EcoComfort Zip-Up,GreenWear,Forest Green,L,100% Organic Cotton,Zip-up,Unisex,Long Sleeve,Kangaroo,Adjustable,Full-length,59.99,650,All-season,Solid,Regular,Casual,"Machine wash cold, Tumble dry low",USA,Yes,100
UrbanStreet Pullover,CityStyle,Charcoal Gray,M,80% Cotton 20% Polyester,Pullover,Men,Long Sleeve,Kangaroo,Fixed,None,45.99,600,Fall/Winter,Graphic Print,Oversized,Streetwear,"Wash inside out, Hang dry",China,No,75
CozyCloud Sherpa,SnugLife,Cream,XL,100% Polyester Sherpa,Zip-up,Women,Long Sleeve,Side Pockets,Lined,Full-length,79.99,800,Winter,Solid,Relaxed,Lounge,"Hand wash cold, Lay flat to dry",Canada,No,50
TechFleece Performance,AthletePro,Navy Blue,S,88% Polyester 12% Spandex,Pullover,Unisex,Long Sleeve,Kangaroo with Media Pocket,Fixed,Quarter-zip,89.99,450,All-season,Color Block,Slim,Athletic,"Machine wash cold, Do not tumble dry",Vietnam,Yes,120
VintageVibe Distressed,RetroThreads,Washed Black,L,100% Cotton,Pullover,Unisex,Long Sleeve,Kangaroo,Fixed,None,54.99,580,All-season,Distressed,Relaxed,Casual,"Machine wash cold, Tumble dry low",Mexico,No,60
LuxeSoft Cashmere Blend,ElegantEssentials,Burgundy,M,70% Cotton 30% Cashmere,Zip-up,Women,Long Sleeve,Side Pockets,Removable,Full-length,129.99,550,Fall/Winter,Ribbed Texture,Fitted,Smart Casual,"Dry clean only",Italy,Yes,40
MountainTrek Waterproof,OutdoorElite,Olive Green,XL,100% Recycled Polyester,Zip-up,Unisex,Long Sleeve,Multiple Pockets,Adjustable with Visor,Full-length with Storm Flap,149.99,750,All-season,Solid with Reflective Details,Regular,Outdoor,"Machine wash cold, Tumble dry low",Colombia,Yes,80
GraffitiArt Limited Edition,UrbanCanvas,Multicolor,S,60% Cotton 40% Polyester,Pullover,Unisex,Long Sleeve,Kangaroo,Fixed,None,99.99,620,Spring/Summer,Artist Collaboration Print,Oversized,Streetwear,"Hand wash cold, Hang dry",Japan,No,30
PowerLift Compression,GymWarrior,Black,L,85% Polyester 15% Elastane,Zip-up,Men,Long Sleeve,Zip Pockets,Fixed,Full-length,74.99,400,All-season,Solid with Mesh Panels,Compression,Athletic,"Machine wash cold, Hang dry",Thailand,No,90
EcoHike Recycled,TrailBlazer,Heather Gray,M,95% Recycled Polyester 5% Elastane,Pullover,Unisex,Long Sleeve,Kangaroo with Hidden Zip Pocket,Adjustable,Quarter-zip,84.99,580,Spring/Fall,Solid with Embroidered Logo,Regular,Outdoor,"Machine wash cold, Tumble dry low",Sri Lanka,Yes,70
